 round               startStatus                            endStatus
077.png 0101010100111000011100001100001000000 0100011000111000111100001100001000000
078.png 0100011000111000111100001100001000000 0000011000111000011100011100011000000
079.png 0000011000111000011100011100011000000 0000110110111100011100001100000000000
080.png 0000110110111100011100001100000000000 0000000100001000011100011011011110000
081.png 0000000100001000011100011011011110000 0000001000011000011110010100011110000
082.png 0000001000011000011110010100011110000 0000000000101000111100011100011000101
083.png 0000000000101000111100011100011000101 0000111000110000110000011000011000110
084.png 0000111000110000110000011000011000110 0000000000111100111110011110000000000
085.png 0000110111011010101010010010001000000 0000110111101110100000001110000010000
086.png 0000110111101110100000001110000010000 0000000110101010111001010101000110000
087.png 0000000110101010111001010101000110000 0000110001010101001110101010110000000
088.png 0000110001010101001110101010110000000 0000100110100101110100010010100110000
089.png 0000100110100101110100010010100110000 0000100001010011010111010111001000000
090.png 0000100001010011010111010111001000000 0010101100101001111000001100010100000
091.png 0010101100101001111000001100010100000 0110101100101100011110001100000000000
092.png 0110101100101100011110001100000000000 0110100010111100001000100001001000110
093.png 0110100010111100001000100001001000110 1110100101010101111110000000000000000
094.png 0001010100011000111110001100010101000 0000011110011000101010001100111100000
095.png 0000011110011000101010001100111100000 0010001111010100001000010101111000100
096.png 0010001111010100001000010101111000100 0010001110010100011100010100111000100
097.png 0010001110010100011100010100111000100 0000001000011110011010011010111100000
098.png 0000001000011110011010011010111100000 0000111001001111000000100111111000000
099.png 0000111001001111000000100111111000000 0110010100100100101010010010010100110
100.png 0000100011011010001000110011101010110 0000011100101100111010010110011100000
101.png 0000011100101100111010010110011100000 1001010100011001111111001000010001000
102.png 0110101010011000010100110011010100110 1001110111011011111111000000000000000
103.png 1001110111011011111111000000000000000 0100011000101110100101010111011000100
104.png 1111100011000011000001100001100011111 1110100101010101010010101010101101000
105.png 1110100101010101010010101010101101000 1100001110001010111001000101001111100
